file_path,width,height,resolution,fps,frame_count,duration_sec
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5570.mp4,112,112,112x112,29.97,100,3.34
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5571.mp4,128,128,128x128,29.97,113,3.77
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5572.mp4,34,34,34x34,29.97,101,3.37
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5573.mp4,30,30,30x30,29.97,121,4.04
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5574.mp4,28,28,28x28,29.97,91,3.04
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5575.mp4,36,36,36x36,29.97,121,4.04
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5576.mp4,36,36,36x36,29.97,62,2.07
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5577.mp4,40,40,40x40,29.97,75,2.5
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5578.mp4,122,122,122x122,29.97,133,4.44
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5579.mp4,126,126,126x126,29.97,125,4.17
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5580.mp4,40,40,40x40,29.97,129,4.3
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5581.mp4,34,34,34x34,29.97,118,3.94
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5582.mp4,34,34,34x34,29.97,112,3.74
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5583.mp4,120,120,120x120,29.97,127,4.24
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5584.mp4,120,120,120x120,29.97,53,1.77
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5585.mp4,122,122,122x122,29.97,87,2.9
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5586.mp4,128,128,128x128,29.97,52,1.74
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5587.mp4,104,104,104x104,29.97,137,4.57
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5588.mp4,104,104,104x104,29.97,60,2.0
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5589.mp4,106,106,106x106,29.97,147,4.9
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5590.mp4,118,118,118x118,29.97,68,2.27
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5591.mp4,118,118,118x118,29.97,133,4.44
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5592.mp4,118,118,118x118,29.97,149,4.97
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5593.mp4,118,118,118x118,29.97,138,4.6
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5594.mp4,102,102,102x102,29.97,58,1.94
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5595.mp4,102,102,102x102,29.97,70,2.34
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5596.mp4,102,102,102x102,29.97,99,3.3
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5597.mp4,100,100,100x100,29.97,78,2.6
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5598.mp4,100,100,100x100,29.97,138,4.6
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5599.mp4,100,100,100x100,29.97,76,2.54
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5600.mp4,74,74,74x74,29.97,144,4.8
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5601.mp4,44,44,44x44,29.97,96,3.2
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5602.mp4,40,40,40x40,29.97,41,1.37
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5603.mp4,48,48,48x48,29.97,44,1.47
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5604.mp4,50,50,50x50,29.97,42,1.4
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5605.mp4,62,62,62x62,29.97,145,4.84
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5606.mp4,110,110,110x110,29.97,120,4.0
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5607.mp4,104,104,104x104,29.97,78,2.6
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5608.mp4,102,102,102x102,29.97,60,2.0
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5609.mp4,100,100,100x100,29.97,44,1.47
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5610.mp4,96,96,96x96,29.97,102,3.4
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5611.mp4,90,90,90x90,29.97,121,4.04
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5612.mp4,88,88,88x88,29.97,136,4.54
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5613.mp4,66,66,66x66,29.97,131,4.37
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5614.mp4,44,44,44x44,29.97,71,2.37
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5615.mp4,114,114,114x114,29.97,148,4.94
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5616.mp4,112,112,112x112,29.97,64,2.14
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5617.mp4,112,112,112x112,29.97,82,2.74
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5618.mp4,118,118,118x118,29.97,51,1.7
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5619.mp4,118,118,118x118,29.97,124,4.14
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5620.mp4,108,108,108x108,29.97,128,4.27
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5621.mp4,104,104,104x104,29.97,86,2.87
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5622.mp4,104,104,104x104,29.97,109,3.64
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5623.mp4,104,104,104x104,29.97,56,1.87
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5624.mp4,104,104,104x104,29.97,111,3.7
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5625.mp4,78,78,78x78,29.97,141,4.7
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5626.mp4,44,44,44x44,29.97,69,2.3
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5627.mp4,30,30,30x30,29.97,101,3.37
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5628.mp4,36,36,36x36,29.97,78,2.6
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5629.mp4,62,62,62x62,29.97,142,4.74
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5630.mp4,66,66,66x66,29.97,47,1.57
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5631.mp4,78,78,78x78,29.97,80,2.67
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5632.mp4,80,80,80x80,29.97,43,1.43
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5633.mp4,84,84,84x84,29.97,120,4.0
D:\2-Datasets from Various Resources\Tiny-VARIAT\Tiny_VIRAT_v1\VIRAT_S_000000\5634.mp4,84,84,84x84,29.97,87,2.9
